,histogram,macd,signal
2001-03-09 00:00:00,0.022411408540761818,0.22725735145769654,0.20484594291693473
2001-03-16 00:00:00,-0.012440812143821894,0.17996431862929096,0.19240513077311286
2001-03-23 00:00:00,-0.038535849522521926,0.11533343172806898,0.15386928125059091
2001-03-30 00:00:00,-0.052821810266599739,0.048225660717391428,0.10104747098399117
2001-04-06 00:00:00,-0.03382905281251132,0.033389365358968526,0.067218418171479846
2001-04-13 00:00:00,-0.029298484646999114,0.0086214488774816189,0.037919933524480733
2001-04-20 00:00:00,-0.030383804756432365,-0.022847675988383997,0.0075361287680483684
2001-04-27 00:00:00,-0.001463438894113123,0.0046092509798221215,0.0060726898739352445
2001-05-04 00:00:00,0.019969445670233361,0.046011581214401964,0.026042135544168604
2001-05-11 00:00:00,0.03072773492863793,0.087497605401444467,0.056769870472806537
2001-05-18 00:00:00,0.038695300840146399,0.13416047215309934,0.095465171312952943
2001-05-25 00:00:00,0.036463955930176761,0.16839308317330648,0.13192912724312972
2001-06-01 00:00:00,0.042249635654352496,0.21642839855183471,0.17417876289748221
2001-06-08 00:00:00,0.026344188389695017,0.22686713967687222,0.2005229512871772
2001-06-15 00:00:00,0.010783469195812911,0.22208988967880305,0.21130642048299014
2001-06-22 00:00:00,0.0046479976916616039,0.22060241586631335,0.21595441817465175
2001-06-29 00:00:00,-0.015470110786505592,0.18501419660164053,0.20048430738814613
2001-07-06 00:00:00,-0.031505450100078103,0.13747340718798995,0.16897885728806805
2001-07-13 00:00:00,-0.027581230345631924,0.1138163965968042,0.14139762694243613
2001-07-20 00:00:00,-0.027695093091566897,0.086007440759302334,0.11370253385086923
2001-07-27 00:00:00,-0.022439416372493234,0.068823701105882762,0.091263117478375996
2001-08-03 00:00:00,-0.021534271162192184,0.048194575153991615,0.069728846316183798
2001-08-10 00:00:00,-0.016729796460563932,0.036269253395055934,0.052999049855619866
2001-08-17 00:00:00,-0.017231765035534252,0.018535519784551369,0.035767284820085621
2001-08-24 00:00:00,0.00068480292094053041,0.037136890661966682,0.036452087741026151
2001-08-31 00:00:00,0.0034290530682217213,0.043310193877469594,0.039881140809247873
2001-09-07 00:00:00,0.0078746655779192709,0.055630471965086414,0.047755806387167143
2001-09-14 00:00:00,-0.015484954125236816,0.016785898136693511,0.032270852261930327
2001-09-21 00:00:00,-0.012684644292468156,0.0069015636769940159,0.019586207969462172
2001-09-28 00:00:00,-0.019427504811655325,-0.019268801653848477,0.00015870315780684705
2001-10-05 00:00:00,-0.025041067590109982,-0.049923432022413117,-0.024882364432303135
