,close,value
2000-01-07 00:00:00,,5.5
2000-01-14 00:00:00,,5.4000000000000004
2000-01-21 00:00:00,,5.2000000000000002
2000-01-28 00:00:00,,5.1375000000000002
2000-02-04 00:00:00,,5.5875000000000004
2000-02-11 00:00:00,,5.2000000000000002
2000-02-18 00:00:00,,5.5562500000000004
2000-02-25 00:00:00,,5.8626250000000004
2000-03-03 00:00:00,,6.0375000000000005
2000-03-10 00:00:00,,6.2125000000000004
2000-03-17 00:00:00,,5.8625000000000007
2000-03-24 00:00:00,,5.8125
2000-03-31 00:00:00,,5.9000000000000004
2000-04-07 00:00:00,,6.2000000000000002
2000-04-14 00:00:00,,5.5737500000000004
2000-04-21 00:00:00,,5.1000000000000005
2000-04-28 00:00:00,,5.3762500000000006
2000-05-05 00:00:00,,5.4875000000000007
2000-05-12 00:00:00,,5.3062500000000004
2000-05-19 00:00:00,,5.4125000000000005
2000-05-26 00:00:00,,5.2512500000000006
2000-06-02 00:00:00,,5.812875
2000-06-09 00:00:00,,6.2750000000000004
2000-06-16 00:00:00,,6.3123750000000003
2000-06-23 00:00:00,,6.4387499999999998
2000-06-30 00:00:00,,6.8125
2000-07-07 00:00:00,,6.7062499999999998
2000-07-14 00:00:00,,6.25
2000-07-21 00:00:00,,6.4625000000000004
2000-07-28 00:00:00,,5.8312499999999998
2000-08-04 00:00:00,,5.75
2000-08-11 00:00:00,,6.2374999999999998
2000-08-18 00:00:00,,6.4749999999999996
2000-08-25 00:00:00,,6.6875
2000-09-01 00:00:00,,6.90625
2000-09-08 00:00:00,,7.0625
2000-09-15 00:00:00,,6.7874999999999996
2000-09-22 00:00:00,,6.4737499999999999
2000-09-29 00:00:00,,6.5875000000000004
2000-10-06 00:00:00,,6.4749999999999996
2000-10-13 00:00:00,,6.7050000000000001
2000-10-20 00:00:00,,6.25
2000-10-27 00:00:00,,6.1712499999999997
2000-11-03 00:00:00,,6.2625000000000002
2000-11-10 00:00:00,,6.2887500000000003
2000-11-17 00:00:00,,6.4874999999999998
2000-11-24 00:00:00,,6.3137499999999998
2000-12-01 00:00:00,,5.9000000000000004
2000-12-08 00:00:00,,5.6500000000000004
2000-12-15 00:00:00,,5.9112499999999999
2000-12-22 00:00:00,,5.625
2000-12-29 00:00:00,,5.7225000000000001
2001-01-05 00:00:00,,6.1912500000000001
2001-01-12 00:00:00,,6.4124999999999996
2001-01-19 00:00:00,,6.9087500000000004
2001-01-26 00:00:00,,6.7937500000000002
2001-02-02 00:00:00,,6.7249999999999996
2001-02-09 00:00:00,,7.0012499999999998
2001-02-16 00:00:00,,7.0512499999999996
2001-02-23 00:00:00,,6.9625000000000004
2001-03-02 00:00:00,,7.0625
2001-03-09 00:00:00,,7.1375000000000002
2001-03-16 00:00:00,,6.38375
2001-03-23 00:00:00,,6.0612500000000002
2001-03-30 00:00:00,,5.8712499999999999
2001-04-06 00:00:00,,6.3499999999999996
2001-04-13 00:00:00,,6.1875
2001-04-20 00:00:00,,6.0374999999999996
2001-04-27 00:00:00,,6.6762499999999996
