,histogram,macd,signal
2000-10-03 00:00:00,-0.012481046040364863,-0.025747022231483285,-0.013265976191118422
2000-10-04 00:00:00,0.00079437706338622398,-0.012074410596039087,-0.012868787659425311
2000-10-05 00:00:00,0.011973327995358496,0.0050912043336124313,-0.0068821236617460637
2000-10-06 00:00:00,-0.01820864919723638,-0.034195097457600632,-0.015986448260364251
2000-10-09 00:00:00,-0.030522299013510609,-0.061769896780630162,-0.031247597767119554
2000-10-10 00:00:00,-0.0045398447769377653,-0.038057364932526205,-0.03351752015558844
2000-10-11 00:00:00,0.010868911479177963,-0.017214152936821492,-0.028083064415999455
2000-10-13 00:00:00,0.031022278773659193,0.018450353744489334,-0.01257192502916986
2000-10-16 00:00:00,-0.0048537539852140082,-0.019852556006990874,-0.014998802021776865
2000-10-17 00:00:00,-0.074624062848702544,-0.12693489629483068,-0.052310833446128135
2000-10-18 00:00:00,-0.081556346510143693,-0.17464535321134367,-0.093089006701199975
2000-10-19 00:00:00,-0.051408060413553933,-0.17020109732153088,-0.11879303690797695
2000-10-20 00:00:00,-0.051138635367367152,-0.19550098995902765,-0.1443623545916605
2000-10-23 00:00:00,-0.089752242833995743,-0.27899071884265414,-0.1892384760086584
2000-10-24 00:00:00,-0.13703742192884588,-0.39479460890192719,-0.25775718697308131
2000-10-25 00:00:00,-0.13925998070704887,-0.46664715803365464,-0.32738717732660577
2000-10-26 00:00:00,-0.045479981118836221,-0.39560714900486005,-0.35012716788602383
2000-10-27 00:00:00,0.015262944142798829,-0.32723275167182564,-0.34249569581462447
2000-10-30 00:00:00,0.073934089440816531,-0.23159456165339964,-0.30552865109421617
2000-10-31 00:00:00,0.089978195704740804,-0.170561357537105,-0.2605395532418458
2000-11-01 00:00:00,0.10090447982156905,-0.10918283350949221,-0.21008731333106126
2000-11-03 00:00:00,0.069381414331025737,-0.10601519183452268,-0.17539660616554842
2000-11-06 00:00:00,0.07412421460072674,-0.064210284264458295,-0.13833449886518503
2000-11-07 00:00:00,0.09113623123562789,-0.0016301520117432133,-0.092766383247371104
2000-11-08 00:00:00,0.066443964633679353,0.0068995637031479262,-0.059544400930531427
2000-11-09 00:00:00,0.017467097047182745,-0.03334375535975731,-0.050810852406940055
2000-11-10 00:00:00,0.0023400512070229293,-0.047300775596405664,-0.049640826803428593
2000-11-13 00:00:00,0.0076280846015996662,-0.038198699901029087,-0.045826784502628753
