,close,value
2000-01-03 00:00:00,,5.9926666666666684
2000-01-04 00:00:00,,5.662121212121213
2000-01-05 00:00:00,,5.6049898989899001
2000-01-06 00:00:00,,5.5856060606060618
2000-01-07 00:00:00,,5.6111111111111125
2000-01-10 00:00:00,,5.7263939393939403
2000-01-11 00:00:00,,5.5856060606060618
2000-01-12 00:00:00,,5.5937676767676781
2000-01-13 00:00:00,,5.4325757575757585
2000-01-14 00:00:00,,5.5090909090909097
2000-01-17 00:00:00,,5.4458383838383853
2000-01-18 00:00:00,,5.4703232323232331
2000-01-19 00:00:00,,5.4325757575757585
2000-01-20 00:00:00,,5.4193131313131317
2000-01-21 00:00:00,,5.3050505050505059
2000-01-24 00:00:00,,5.2662828282828293
2000-01-25 00:00:00,,5.2662828282828293
2000-01-26 00:00:00,,5.3305555555555566
2000-01-27 00:00:00,,5.292808080808082
2000-01-28 00:00:00,,5.292808080808082
2000-01-31 00:00:00,,5.2040505050505059
2000-02-01 00:00:00,,5.3050505050505059
2000-02-02 00:00:00,,5.4070707070707078
2000-02-03 00:00:00,,5.5601010101010111
2000-02-04 00:00:00,,5.7008888888888904
2000-02-07 00:00:00,,5.7386363636363651
2000-02-08 00:00:00,,5.8661616161616168
2000-02-09 00:00:00,,5.7386363636363651
2000-02-10 00:00:00,,5.572343434343435
2000-02-11 00:00:00,,5.3948282828282839
2000-02-14 00:00:00,,5.3172929292929298
2000-02-15 00:00:00,,5.4193131313131317
2000-02-16 00:00:00,,5.8539191919191929
2000-02-17 00:00:00,,5.8029090909090923
2000-02-18 00:00:00,,5.6743636363636369
2000-02-21 00:00:00,,5.662121212121213
2000-02-22 00:00:00,,5.6366161616161623
2000-02-23 00:00:00,,5.6753838383838398
2000-02-24 00:00:00,,5.828414141414143
2000-02-25 00:00:00,,5.9814444444444455
2000-02-28 00:00:00,,5.8661616161616168
2000-02-29 00:00:00,,5.8916666666666675
2000-03-01 00:00:00,,5.9936868686868694
2000-03-02 00:00:00,,5.9559393939393956
