,close,value
2000-01-07 00:00:00,,5.6111111111111125
2000-01-14 00:00:00,,5.5090909090909097
2000-01-21 00:00:00,,5.3050505050505059
2000-01-28 00:00:00,,5.292808080808082
2000-02-04 00:00:00,,5.7008888888888904
2000-02-11 00:00:00,,5.3948282828282839
2000-02-18 00:00:00,,5.6743636363636369
2000-02-25 00:00:00,,5.9814444444444455
2000-03-03 00:00:00,,6.1599797979797994
2000-03-10 00:00:00,,6.3374949494949506
2000-03-17 00:00:00,,5.9804242424242435
2000-03-24 00:00:00,,5.9294141414141421
2000-03-31 00:00:00,,6.0191919191919201
2000-04-07 00:00:00,,6.3130101010101027
2000-04-14 00:00:00,,6.0191919191919201
2000-04-21 00:00:00,,5.203030303030304
2000-04-28 00:00:00,,5.4846060606060618
2000-05-05 00:00:00,,5.5988686868686885
2000-05-12 00:00:00,,5.4131919191919202
2000-05-19 00:00:00,,5.5213333333333336
2000-05-26 00:00:00,,5.3570808080808092
2000-06-02 00:00:00,,5.9304343434343449
2000-06-09 00:00:00,,6.4017676767676779
2000-06-16 00:00:00,,6.4150303030303046
2000-06-23 00:00:00,,6.4400000000000004
2000-06-30 00:00:00,,6.8099999999999996
2000-07-07 00:00:00,,6.71
2000-07-14 00:00:00,,6.1900000000000004
2000-07-21 00:00:00,,6.4400000000000004
2000-07-28 00:00:00,,5.7800000000000002
2000-08-04 00:00:00,,5.8099999999999996
2000-08-11 00:00:00,,6.2400000000000002
2000-08-18 00:00:00,,6.5
2000-08-25 00:00:00,,6.6900000000000004
2000-09-01 00:00:00,,6.9400000000000004
2000-09-08 00:00:00,,7.0599999999999996
2000-09-15 00:00:00,,6.8200000000000003
2000-09-22 00:00:00,,6.4400000000000004
2000-09-29 00:00:00,,6.5499999999999998
2000-10-06 00:00:00,,6.4699999999999998
2000-10-13 00:00:00,,6.7000000000000002
2000-10-20 00:00:00,,6.25
2000-10-27 00:00:00,,6.1699999999999999
2000-11-03 00:00:00,,6.2599999999999998
2000-11-10 00:00:00,,6.2699999999999996
2000-11-17 00:00:00,,6.5
2000-11-24 00:00:00,,6.3099999999999996
2000-12-01 00:00:00,,5.9000000000000004
2000-12-08 00:00:00,,5.6900000000000004
2000-12-15 00:00:00,,5.9100000000000001
2000-12-22 00:00:00,,5.6200000000000001
2000-12-29 00:00:00,,5.7199999999999998
2001-01-05 00:00:00,,6.25
2001-01-12 00:00:00,,6.3899999999999997
2001-01-19 00:00:00,,6.9100000000000001
2001-01-26 00:00:00,,6.79
2001-02-02 00:00:00,,6.7199999999999998
2001-02-09 00:00:00,,7.0
2001-02-16 00:00:00,,7.0499999999999998
2001-02-23 00:00:00,,6.96
2001-03-02 00:00:00,,7.0599999999999996
2001-03-09 00:00:00,,7.1399999999999997
2001-03-16 00:00:00,,6.3799999999999999
2001-03-23 00:00:00,,6.0599999999999996
2001-03-30 00:00:00,,5.8700000000000001
2001-04-06 00:00:00,,6.3499999999999996
2001-04-13 00:00:00,,6.1900000000000004
2001-04-20 00:00:00,,6.04
2001-04-27 00:00:00,,6.6900000000000004
2001-05-04 00:00:00,,6.9400000000000004
2001-05-11 00:00:00,,7.0599999999999996
2001-05-18 00:00:00,,7.25
2001-05-25 00:00:00,,7.2400000000000002
2001-06-01 00:00:00,,7.5300000000000002
2001-06-08 00:00:00,,7.2199999999999998
2001-06-15 00:00:00,,7.0899999999999999
2001-06-22 00:00:00,,7.1500000000000004
2001-06-29 00:00:00,,6.75
2001-07-06 00:00:00,,6.5300000000000002
2001-07-13 00:00:00,,6.7199999999999998
2001-07-20 00:00:00,,6.6200000000000001
2001-07-27 00:00:00,,6.6900000000000004
2001-08-03 00:00:00,,6.6100000000000003
2001-08-10 00:00:00,,6.6699999999999999
2001-08-17 00:00:00,,6.5700000000000003
2001-08-24 00:00:00,,6.9800000000000004
2001-08-31 00:00:00,,6.8799999999999999
2001-09-07 00:00:00,,6.9800000000000004
2001-09-14 00:00:00,,6.3799999999999999
2001-09-21 00:00:00,,6.6399999999999997
2001-09-28 00:00:00,,6.4100000000000001
2001-10-05 00:00:00,,6.2800000000000002
2001-10-12 00:00:00,,6.6900000000000004
2001-10-19 00:00:00,,6.5099999999999998
2001-10-26 00:00:00,,6.5899999999999999
2001-11-02 00:00:00,,6.3600000000000003
2001-11-09 00:00:00,,6.7599999999999998
2001-11-16 00:00:00,,5.7199999999999998
2001-11-23 00:00:00,,6.25
2001-11-30 00:00:00,,6.1900000000000004
2001-12-07 00:00:00,,6.2400000000000002
2001-12-14 00:00:00,,5.9000000000000004
2001-12-21 00:00:00,,6.0300000000000002
2001-12-28 00:00:00,,6.3899999999999997
2002-01-04 00:00:00,,6.4100000000000001
2002-01-11 00:00:00,,6.2800000000000002
2002-01-18 00:00:00,,6.1200000000000001
2002-01-25 00:00:00,,5.8700000000000001
2002-02-01 00:00:00,,6.0300000000000002
2002-02-08 00:00:00,,5.9500000000000002
2002-02-15 00:00:00,,6.3099999999999996
2002-02-22 00:00:00,,6.4900000000000002
2002-03-01 00:00:00,,7.25
2002-03-08 00:00:00,,7.0499999999999998
2002-03-15 00:00:00,,7.5
2002-03-22 00:00:00,,7.2599999999999998
2002-03-29 00:00:00,,7.2199999999999998
2002-04-05 00:00:00,,7.1100000000000003
2002-04-12 00:00:00,,6.9000000000000004
2002-04-19 00:00:00,,6.9900000000000002
2002-04-26 00:00:00,,6.7599999999999998
2002-05-03 00:00:00,,6.7999999999999998
2002-05-10 00:00:00,,6.5
