,close,value
2000-01-31 00:00:00,,5.1000000000000005
2000-02-29 00:00:00,,5.75
2000-03-31 00:00:00,,5.9000000000000004
2000-04-30 00:00:00,,5.3762500000000006
2000-05-31 00:00:00,,5.2375000000000007
2000-06-30 00:00:00,,6.8125
2000-07-31 00:00:00,,5.8525
2000-08-31 00:00:00,,6.8875000000000002
2000-09-30 00:00:00,,6.5875000000000004
2000-10-31 00:00:00,,6.3262499999999999
2000-11-30 00:00:00,,5.9375
2000-12-31 00:00:00,,5.7225000000000001
2001-01-31 00:00:00,,6.8137499999999998
2001-02-28 00:00:00,,6.8637499999999996
2001-03-31 00:00:00,,5.8712499999999999
2001-04-30 00:00:00,,6.6749999999999998
2001-05-31 00:00:00,,7.4749999999999996
2001-06-30 00:00:00,,6.7487500000000002
2001-07-31 00:00:00,,6.7750000000000004
2001-08-31 00:00:00,,6.875
2001-09-30 00:00:00,,6.4124999999999996
2001-10-31 00:00:00,,6.4874999999999998
2001-11-30 00:00:00,,6.1375000000000002
2001-12-31 00:00:00,,6.3937499999999998
2002-01-31 00:00:00,,6.0125000000000002
2002-02-28 00:00:00,,7.0125000000000002
2002-03-31 00:00:00,,7.21875
2002-04-30 00:00:00,,6.8650000000000002
2002-05-31 00:00:00,,6.8150000000000004
2002-06-30 00:00:00,,6.1375000000000002
2002-07-31 00:00:00,,5.1137499999999996
2002-08-31 00:00:00,,5.5
2002-09-30 00:00:00,,4.6124999999999998
2002-10-31 00:00:00,,5.5374999999999996
2002-11-30 00:00:00,,5.5562500000000004
2002-12-31 00:00:00,,5.7999999999999998
2003-01-31 00:00:00,,5.9387499999999998
2003-02-28 00:00:00,,5.3362499999999997
2003-03-31 00:00:00,,5.7999999999999998
2003-04-30 00:00:00,,6.2362500000000001
2003-05-31 00:00:00,,6.5987499999999999
2003-06-30 00:00:00,,6.3624999999999998
2003-07-31 00:00:00,,7.0625
2003-08-31 00:00:00,,7.5999999999999996
2003-09-30 00:00:00,,7.5812499999999998
2003-10-31 00:00:00,,7.875
2003-11-30 00:00:00,,8.3599999999999994
2003-12-31 00:00:00,,9.5500000000000007
2004-01-31 00:00:00,,9.7862500000000008
2004-02-29 00:00:00,,10.25
2004-03-31 00:00:00,,10.6875
2004-04-30 00:00:00,,9.3375000000000004
2004-05-31 00:00:00,,8.9725000000000001
2004-06-30 00:00:00,,9.6637500000000003
2004-07-31 00:00:00,,9.7624999999999993
2004-08-31 00:00:00,,10.25
2004-09-30 00:00:00,,11.73
2004-10-31 00:00:00,,11.68125
2004-11-30 00:00:00,,11.612500000000001
2004-12-31 00:00:00,,12.143750000000001
2005-01-31 00:00:00,,11.7875
2005-02-28 00:00:00,,13.90375
2005-03-31 00:00:00,,12.893750000000001
2005-04-30 00:00:00,,11.8125
2005-05-31 00:00:00,,12.56875
2005-06-30 00:00:00,,13.4125
2005-07-31 00:00:00,,13.6225
2005-08-31 00:00:00,,16.25
2005-09-30 00:00:00,,17.824999999999999
2005-10-31 00:00:00,,16.105
2005-11-30 00:00:00,,17.125
2005-12-31 00:00:00,,18.605
2006-01-31 00:00:00,,23.5
2006-02-28 00:00:00,,22.375
2006-03-31 00:00:00,,21.57
2006-04-30 00:00:00,,23.114999999999998
2006-05-31 00:00:00,,22.0
2006-06-30 00:00:00,,21.59
2006-07-31 00:00:00,,22.449999999999999
2006-08-31 00:00:00,,21.5
2006-09-30 00:00:00,,20.295000000000002
2006-10-31 00:00:00,,21.5
2006-11-30 00:00:00,,22.914999999999999
2006-12-31 00:00:00,,24.899999999999999
2007-01-31 00:00:00,,23.434999999999999
2007-02-28 00:00:00,,21.440000000000001
2007-03-31 00:00:00,,23.07
2007-04-30 00:00:00,,22.600000000000001
2007-05-31 00:00:00,,22.969999999999999
2007-06-30 00:00:00,,25.82
2007-07-31 00:00:00,,26.355
2007-08-31 00:00:00,,26.100000000000001
2007-09-30 00:00:00,,29.600000000000001
2007-10-31 00:00:00,,36.009999999999998
2007-11-30 00:00:00,,35.950000000000003
2007-12-31 00:00:00,,44.200000000000003
2008-01-31 00:00:00,,40.200000000000003
2008-02-29 00:00:00,,40.725000000000001
2008-03-31 00:00:00,,36.994999999999997
2008-04-30 00:00:00,,42.200000000000003
2008-05-31 00:00:00,,49.0
2008-06-30 00:00:00,,46.210000000000001
2008-07-31 00:00:00,,35.899999999999999
2008-08-31 00:00:00,,34.899999999999999
2008-09-30 00:00:00,,35.100000000000001
