,histogram,macd,signal
2002-04-30 00:00:00,0.0070098231525899668,0.27286991041739395,0.26586008726480398
2002-05-31 00:00:00,-0.0019985560004854297,0.26186297526383306,0.26386153126431849
2002-06-30 00:00:00,-0.035122296616031751,0.19361693803225499,0.22873923464828674
2002-07-31 00:00:00,-0.082891814961596116,0.062955604725094538,0.14584741968669065
2002-08-31 00:00:00,-0.079827230954259185,-0.013807042221827714,0.06602018873243147
2002-09-30 00:00:00,-0.10500549545079976,-0.14399080216916804,-0.038985306718368286
2002-10-31 00:00:00,-0.06598504227930492,-0.17095539127697812,-0.1049703489976732
2002-11-30 00:00:00,-0.043778048831305316,-0.19252644666028385,-0.14874839782897853
2002-12-31 00:00:00,-0.017675255817030999,-0.18409890946304053,-0.16642365364600953
2003-01-31 00:00:00,0.0010967999648375804,-0.16423005371633437,-0.16532685368117195
2003-02-28 00:00:00,-0.014664056505886591,-0.19465496669294513,-0.17999091018705854
2003-03-31 00:00:00,0.00020610393823008999,-0.17957870231059836,-0.17978480624882845
2003-04-30 00:00:00,0.024582094012402467,-0.13062061822402349,-0.15520271223642595
2003-05-31 00:00:00,0.046573035035694127,-0.062056642165037701,-0.10862967720073183
2003-06-30 00:00:00,0.041724295274088732,-0.025181086652554363,-0.066905381926643095
2003-07-31 00:00:00,0.062573689107903022,0.058241996289162934,-0.0043316928187400825
2003-08-31 00:00:00,0.085173425499558114,0.16601515818037615,0.08084173268081804
2003-09-30 00:00:00,0.083061867859981348,0.24696546840078071,0.16390360054079936
2003-10-31 00:00:00,0.083800839110913877,0.33150527876262714,0.24770443965171327
2003-11-30 00:00:00,0.09227424681251889,0.43225293327675107,0.33997868646423218
2003-12-31 00:00:00,0.13060520497075662,0.60118909640574536,0.47058389143498874
2004-01-31 00:00:00,0.13762836954356927,0.74584063052212723,0.60821226097855796
2004-02-29 00:00:00,0.13957744596824806,0.88736715291505419,0.74778970694680613
2004-03-31 00:00:00,0.13772365894764826,1.0232370248421025,0.88551336589445429
2004-04-30 00:00:00,0.062410642409108652,1.0103346507126716,0.94792400830356294
2004-05-31 00:00:00,0.0056362450101902217,0.95919649832394338,0.95356025331375316
2004-06-30 00:00:00,0.0048412309093738282,0.96324271513250093,0.9584014842231271
2004-07-31 00:00:00,0.0025057134060023634,0.96341291103513171,0.96090719762912935
2004-08-31 00:00:00,0.015374156174629339,0.99165550997838814,0.9762813538037588
2004-09-30 00:00:00,0.072131654539567602,1.1205446628828941,1.0484130083433265
2004-10-31 00:00:00,0.078177420428199751,1.204767849199726,1.1265904287715263
2004-11-30 00:00:00,0.062425326795766178,1.2514410823630584,1.1890157555672922
2004-12-31 00:00:00,0.063505220079455915,1.3160261957262041,1.2525209756467481
2005-01-31 00:00:00,0.030409022278987896,1.3133390202047242,1.2829299979257363
2005-02-28 00:00:00,0.096013158790168696,1.4749563155060734,1.3789431567159047
2005-03-31 00:00:00,0.062628988149852294,1.5042011330156093,1.441572144865757
2005-04-30 00:00:00,-0.0088770724734217321,1.4238179999189136,1.4326950723923353
2005-05-31 00:00:00,-0.013727188090367992,1.4052406962115995,1.4189678843019675
2005-06-30 00:00:00,0.011356176176530175,1.4416802366550279,1.4303240604784977
2005-07-31 00:00:00,0.020114203010375142,1.4705524664992478,1.4504382634888726
2005-08-31 00:00:00,0.117888516521091,1.6862152965310546,1.5683267800099636
2005-09-30 00:00:00,0.1968394392756776,1.9620056585613188,1.7651662192856412
2005-10-31 00:00:00,0.12627488619635385,2.0177159916783491,1.8914411054819953
2005-11-30 00:00:00,0.11414809500767831,2.1197372954973517,2.0055892004896734
2005-12-31 00:00:00,0.14399272181756473,2.2935746441248028,2.1495819223072381
2006-01-31 00:00:00,0.32246783141597657,2.7945175851391912,2.4720497537232147
2006-02-28 00:00:00,0.2960789847085592,3.0642077231403331,2.7681287384317739
2006-03-31 00:00:00,0.20471749386104898,3.1775637261538723,2.9728462322928233
2006-04-30 00:00:00,0.1900833137739828,3.3530128598407885,3.1629295460668057
2006-05-31 00:00:00,0.10039273997038034,3.3637150260075668,3.2633222860371864
2006-06-30 00:00:00,0.018869070258455967,3.3010604265540984,3.2821913562956424
2006-07-31 00:00:00,0.0003828876136728887,3.2829571315229877,3.2825742439093148
2006-08-31 00:00:00,-0.063498349155624023,3.1555775455980672,3.2190758947536913
2006-09-30 00:00:00,-0.14749233171704867,2.9240912313195935,3.0715835630366422
2006-10-31 00:00:00,-0.13322636721444914,2.8051308286077443,2.9383571958221935
2006-11-30 00:00:00,-0.072559955772737883,2.7932372842767172,2.8657972400494551
2006-12-31 00:00:00,0.022119347144772039,2.9100359343389997,2.8879165871942276
2007-01-31 00:00:00,-0.01839974946212708,2.851117088269973,2.8695168377321001
2007-02-28 00:00:00,-0.12789952006163618,2.6137177976088282,2.7416173176704643
2007-03-31 00:00:00,-0.10682679154399644,2.527963734582471,2.6347905261264675
2007-04-30 00:00:00,-0.12015730214034104,2.3944759218457854,2.5146332239861264
2007-05-31 00:00:00,-0.11125678809292294,2.2921196478002805,2.4033764358932035
2007-06-30 00:00:00,0.0048894778143431239,2.4131553915218902,2.4082659137075471
2007-07-31 00:00:00,0.057248453946139755,2.5227628215998266,2.4655143676536868
2007-08-31 00:00:00,0.047215383646905362,2.5599451349474975,2.5127297513005922
2007-09-30 00:00:00,0.16318797049983491,2.8391056923002616,2.6759177218004266
2007-10-31 00:00:00,0.43044402870121035,3.5368057792028473,3.106361750501637
2007-11-30 00:00:00,0.46599167358337112,4.0383450976683797,3.5723534240850086
2007-12-31 00:00:00,0.73551710771383227,5.0433876395126731,4.3078705317988408
2008-01-31 00:00:00,0.57319038925453647,5.4542513103079138,4.8810609210533773
2008-02-29 00:00:00,0.43720844851253826,5.7554778180784538,5.3182693695659156
2008-03-31 00:00:00,0.15503638716878321,5.6283421439034811,5.4733057567346979
2008-04-30 00:00:00,0.20345027481839484,5.8802063063714876,5.6767560315530927
2008-05-31 00:00:00,0.43810949560465851,6.5529750227624106,6.1148655271577521
2008-06-30 00:00:00,0.33398280608787889,6.7828311393335099,6.448848333245631
2008-07-31 00:00:00,-0.19283892815304515,6.0631704769395398,6.256009405092585
2008-08-31 00:00:00,-0.45277183454105074,5.3504657360104844,5.8032375705515351
2008-09-30 00:00:00,-0.52808914618723968,4.7470592781770549,5.2751484243642945
2008-10-31 00:00:00,-0.9977269278185501,3.2796945687271943,4.2774214965457444
2008-11-30 00:00:00,-1.2220031695697009,1.8334151574063426,3.0554183269760435
2008-12-31 00:00:00,-1.0771276513701238,0.90116302423579597,1.9782906756059198
2009-01-31 00:00:00,-0.8215467155979419,0.33519724441003618,1.1567439600079781
2009-02-28 00:00:00,-0.5797496803484361,-0.0027554006888941274,0.57699427965954198
2009-03-31 00:00:00,-0.33649301082870642,-0.095991741997870861,0.24050126883083553
2009-04-30 00:00:00,-0.16473657221204024,-0.088971875593244931,0.075764696618795299
2009-05-31 00:00:00,0.11672907965415766,0.30922285592711063,0.19249377627295297
2009-06-30 00:00:00,0.1328184710868931,0.45813071844673914,0.32531224735984604
2009-07-31 00:00:00,0.083043337137621187,0.49139892163508847,0.40835558449746728
2009-08-31 00:00:00,0.048164346902508537,0.5046842783024843,0.45651993139997576
2009-09-30 00:00:00,0.17079832155712815,0.79811657451423201,0.62731825295710386
2009-10-31 00:00:00,0.19739547867055007,1.0221092102982041,0.82471373162765405
2009-11-30 00:00:00,0.33059166810934726,1.4858970678463486,1.1553053997370013
2009-12-31 00:00:00,0.25435291746543509,1.6640112346678713,1.4096583172024362
2010-01-31 00:00:00,0.086956160922528891,1.583570639047494,1.4966144781249651
2010-02-28 00:00:00,0.020493114148168123,1.5376007064213013,1.5171075922731332
2010-03-31 00:00:00,0.014588246108431902,1.5462840844899972,1.5316958383815653
2010-04-30 00:00:00,-0.10141984755699296,1.3288561432675792,1.4302759908245721
2010-05-31 00:00:00,-0.27109184458937263,0.88809230164582686,1.1591841462351995
2010-06-30 00:00:00,-0.4225579246487684,0.31406829693766269,0.7366262215864311
2010-07-31 00:00:00,-0.39844829919403718,-0.060270376801643266,0.33817792239239391
2010-08-31 00:00:00,-0.41691938288918728,-0.4956608433859806,-0.078741460496793342
2010-09-30 00:00:00,-0.3187584591613285,-0.71625837881945031,-0.39749991965812181
2010-10-31 00:00:00,-0.30752636452215665,-1.0125526487024352,-0.70502628418027857
2010-11-30 00:00:00,-0.31431975437362913,-1.3336657929275368,-1.0193460385539077
2010-12-31 00:00:00,-0.1676605203352366,-1.3546670792243809,-1.1870065588891443
2011-01-31 00:00:00,-0.092315567026214129,-1.3716376929415723,-1.2793221259153582
2011-02-28 00:00:00,0.014439982867998635,-1.2504421601793609,-1.2648821430473596
2011-03-31 00:00:00,0.059029877688028254,-1.1468223876713033,-1.2058522653593315
2011-04-30 00:00:00,-0.039427045500144642,-1.2847063563596208,-1.2452793108594762
2011-05-31 00:00:00,-0.12663555403760762,-1.4985504189346912,-1.3719148648970836
2011-06-30 00:00:00,-0.1533076851846229,-1.6785302352663294,-1.5252225500817065
2011-07-31 00:00:00,-0.14636941032754658,-1.8179613707367999,-1.6715919604092533
2011-08-31 00:00:00,-0.22513871765869031,-2.1218693957266339,-1.8967306780679436
2011-09-30 00:00:00,-0.28733749172008372,-2.4714056615081113,-2.1840681697880275
2011-10-31 00:00:00,-0.17796625361484786,-2.5400006770177228,-2.3620344234028749
2011-11-30 00:00:00,-0.072264646119492681,-2.5065637156418603,-2.4342990695223676
2011-12-31 00:00:00,-0.031087566306284842,-2.4964742021349373,-2.4653866358286525
2012-01-31 00:00:00,0.12548258867440953,-2.2144214584798334,-2.3399040471542429
2012-02-29 00:00:00,0.17547945721338154,-1.9889451327274799,-2.1644245899408614
2012-03-31 00:00:00,0.14910977150242433,-1.8662050469360132,-2.0153148184384375
2012-04-30 00:00:00,0.051105233016736529,-1.9131043524049645,-1.964209585421701
2012-05-31 00:00:00,-0.068072585192973101,-2.100354755807647,-2.0322821706146739
2012-06-30 00:00:00,-0.13052125258581393,-2.2933246757863017,-2.1628034232004878
2012-07-31 00:00:00,-0.077929328986615864,-2.31866208117372,-2.2407327521871041
2012-08-31 00:00:00,0.014179013345943847,-2.2123747254952164,-2.2265537388411603
2012-09-30 00:00:00,0.12594779971224401,-1.9746581394166718,-2.1006059391289158
2012-10-31 00:00:00,0.10472702482658613,-1.8911518894757435,-1.9958789143023297
2012-11-30 00:00:00,0.010495743597991991,-1.9748874271063457,-1.9853831707043377
2012-12-31 00:00:00,0.018000402938612714,-1.9493823648271125,-1.9673827677657252
2013-01-31 00:00:00,-0.027336804818307359,-2.0220563774023397,-1.9947195725840323
2013-02-28 00:00:00,-0.08924835675185383,-2.1732162860877402,-2.0839679293358864
2013-03-31 00:00:00,-0.019262511344781963,-2.1224929520254499,-2.1032304406806679
2013-04-30 00:00:00,0.088942659819394532,-1.9253451210418788,-2.0142877808612734
2013-05-31 00:00:00,0.13107679145478079,-1.7521341979517118,-1.8832109894064926
2013-06-30 00:00:00,-0.011382486549528892,-1.9059759625055506,-1.8945934759560217
2013-07-31 00:00:00,-0.050310305101378461,-1.9952140861587786,-1.9449037810574001
